,country,new,all,cure,death,population,diagnosticRate,deathRate
阿根廷,阿根廷,7326.0,1524372.0,1352556.0,41534.0,44688864.0,3.4110779813064838,2.724663008766889
尼加拉瓜,尼加拉瓜,51.0,5938.0,4225.0,163.0,6284757.0,0.09448257108429173,2.74503199730549
爱尔兰,爱尔兰,481.0,77678.0,23364.0,2143.0,4803748.0,1.6170290364940043,2.7588248925049563
智利,智利,2001.0,578732.0,551200.0,16007.0,18197209.0,3.1803338632863976,2.765874359807303
阿尔及利亚,阿尔及利亚,426.0,93933.0,62089.0,2640.0,42008054.0,0.22360712067262148,2.8105138769122675
加拿大,加拿大,6815.0,492582.0,403667.0,13940.0,36953765.0,1.3329683727760893,2.829985667360967
萨尔瓦多,萨尔瓦多,0.0,42397.0,38481.0,1227.0,6411558.0,0.6612589326962338,2.894072693822676
,北马其顿,654.0,76251.0,52413.0,2225.0,,,2.9179945181046807
比利时,比利时,3146.0,618204.0,0.0,18371.0,11498519.0,5.376379340678569,2.971672781153147
印度尼西亚,印度尼西亚,7354.0,643508.0,526979.0,19390.0,266794980.0,0.24119944085904463,3.013171553422801
塞拉利昂,塞拉利昂,4.0,2464.0,1854.0,75.0,7719729.0,0.03191821889084448,3.043831168831169
马拉维,马拉维,47.0,6138.0,5661.0,187.0,19164728.0,0.032027587346921904,3.046594982078853
希腊,希腊,1153.0,128710.0,23074.0,3948.0,11142161.0,1.1551619115896816,3.067360733431746
澳大利亚,澳大利亚,21.0,28093.0,25699.0,908.0,24772247.0,0.11340513438284382,3.232121880895597
冈比亚,冈比亚,1.0,3786.0,3654.0,123.0,2163765.0,0.1749727904832549,3.248811410459588
,安提瓜和巴布达,3.0,151.0,141.0,5.0,,,3.3112582781456954
尼日尔,尼日尔,145.0,2506.0,1373.0,84.0,22311375.0,0.011231938865264916,3.35195530726257
保加利亚,保加利亚,2042.0,188288.0,93728.0,6339.0,7036848.0,2.675743457866363,3.366651087695445
英国,英国,35500.0,1954268.0,4123.0,66150.0,66573504.0,2.9355041909766384,3.384899102886605
波黑,波黑,855.0,104087.0,69495.0,3549.0,3503554.0,2.9708975514577483,3.409647698559858
危地马拉,危地马拉,607.0,131435.0,119748.0,4551.0,17245346.0,0.7621476542134904,3.462548027542131
突尼斯,突尼斯,1419.0,115966.0,87884.0,4032.0,11659174.0,0.9946330674883144,3.476881154821241
马里,马里,80.0,6049.0,3718.0,211.0,19107706.0,0.03165738472216392,3.4881798644404034
意大利,意大利,18233.0,1906377.0,1203814.0,67220.0,60482200.0,3.151963718250989,3.5260601654342243
秘鲁,秘鲁,3327.0,989457.0,924120.0,36858.0,32551815.0,3.0396369603353914,3.725073449376779
阿富汗,阿富汗,217.0,49378.0,38505.0,2025.0,36373176.0,0.13575388632546137,4.101016647089797
坦桑尼亚,坦桑尼亚,0.0,509.0,183.0,21.0,59091392.0,0.0008613775759420256,4.12573673870334
斐济,斐济,0.0,46.0,38.0,2.0,912241.0,0.005042527139209924,4.3478260869565215
伊朗,伊朗,7453.0,1138530.0,856513.0,53095.0,82011735.0,1.3882525470287879,4.663469561627713
利比里亚,利比里亚,6.0,1779.0,1406.0,83.0,4853516.0,0.03665384022634313,4.665542439572794
乍得,乍得,18.0,1818.0,1626.0,102.0,15353184.0,0.011841192028962852,5.6105610561056105
埃及,埃及,548.0,123701.0,105919.0,7015.0,99375741.0,0.12447806552707869,5.670932328760479
叙利亚,叙利亚,156.0,9759.0,4616.0,571.0,18284407.0,0.05337334702733318,5.8510093247258945
玻利维亚,玻利维亚,451.0,148665.0,127155.0,9031.0,11215674.0,1.3255110660313416,6.074731779504255
苏丹,苏丹,401.0,22265.0,12873.0,1408.0,41511526.0,0.05363570590009146,6.323826633730071
厄瓜多尔,厄瓜多尔,788.0,204249.0,177951.0,13932.0,16863425.0,1.2111952346572539,6.821086027348971
墨西哥,墨西哥,11799.0,1289298.0,953762.0,116487.0,130759074.0,0.9860103475495704,9.03491667558625
也门,也门,2.0,2087.0,1384.0,606.0,28915284.0,0.007217636181612465,29.036895064686153
法属玻利尼西亚,法属玻利尼西亚,,,,,285859.0,,
法属圭亚那,法属圭亚那,,,,,289763.0,,
马提尼克,马提尼克,,,,,385065.0,,
瓜德罗普岛,瓜德罗普岛,,,,,449173.0,,
西撒哈拉,西撒哈拉,,,,,567421.0,,
留尼旺岛,留尼旺岛,,,,,883247.0,,
马其顿,马其顿,,,,,2085051.0,,
波多黎各,波多黎各,,,,,3659007.0,,
刚果共和国,刚果共和国,,,,,5399895.0,,
土库曼斯坦,土库曼斯坦,,,,,5851466.0,,
捷克共和国,捷克共和国,,,,,10625250.0,,
多明尼加共和国,多明尼加共和国,,,,,10882996.0,,
南苏丹,南苏丹,,,,,12919053.0,,
朝鲜,朝鲜,,,,,25663011.0,,
刚果民主共和国,刚果民主共和国,,,,,82643624.0,,
孟加拉国,孟加拉国,,,,,166368149.0,,
中国,中国,,,,,1400050000.0,,
